时间,电功率,反应堆功率,气轮机功率,压缩机功率,反应堆入口温度,反应堆出口温度,气轮机出口温度,压缩机入口温度,压缩机出口温度,流量,转速
400.0,0.4016157669810842,1.6009625835450887,1.3633089910796916,0.9500930647929146,906.8132621991494,1200.3011431216435,966.2170854445234,339.36326695541203,500.73775583452334,11.199999985270992,59999.999921094604
400.1,0.4016149976266205,1.6009623581045525,1.3633090180136402,0.9500938614672467,906.8133358084115,1200.301166784257,966.2171044916121,339.363560582424,500.73818908760046,11.199999985277882,59999.99992113152
400.2,0.40161422870089575,1.600962132735178,1.3633090449471754,0.9500946577184994,906.8134093815768,1200.3011904465561,966.2171235384478,339.36385405102664,500.73862210694114,11.199999985284773,59999.99992116843
400.29999999999995,0.40161346020423005,1.6009619074367376,1.3633090718803502,0.950095453546426,906.8134829186475,1200.3012141085878,966.2171425850685,339.3641473611241,500.73905489240394,11.199999985291662,59999.99992120534
400.4,0.4016126921369433,1.6009616822090036,1.3633090988132182,0.9500962489507797,906.8135564196259,1200.301237770399,966.2171616315118,339.3644405126204,500.7394874438473,11.199999985298549,59999.999921242226
400.5,0.40161192449935557,1.6009614570517483,1.3633091257458325,0.9500970439313137,906.813629884514,1200.3012614320367,966.2171806778157,339.36473350541957,500.7399197611297,11.199999985305434,59999.99992127911
400.6,0.40161115729178687,1.6009612319647442,1.3633091526782462,0.9500978384877814,906.8137033133137,1200.301285093548,966.217199724018,339.36502633942587,500.74035184410974,11.199999985312315,59999.99992131598
400.7,0.40161039051455716,1.6009610069477633,1.3633091796105128,0.950098632619936,906.8137767060273,1200.3013087549796,966.2172187701565,339.3653190145433,500.74078369264583,11.199999985319197,59999.99992135285
400.79999999999995,0.4016096241679865,1.6009607820005782,1.3633092065426855,0.9500994263275309,906.8138500626569,1200.3013324163787,966.217237816269,339.36561153067595,500.7412153065965,11.199999985326077,59999.9999213897
400.9,0.4016088582523949,1.600960557122961,1.3633092334748174,0.9501002196103191,906.8139233832046,1200.3013560777924,966.2172568623932,339.36590388772794,500.7416466858201,11.199999985332955,59999.99992142655
401.0,0.4016080927681024,1.6009603323146844,1.3633092604069617,0.9501010124680542,906.8139966676725,1200.3013797392675,966.2172759085672,339.36619608560335,500.7420778301753,11.19999998533983,59999.99992146338
401.1,0.40160732771542895,1.6009601075755202,1.363309287339172,0.9501018049004893,906.8140699160627,1200.301403400851,966.2172949548287,339.3664881242063,500.7425087395205,11.199999985346704,59999.9999215002
401.2,0.40160656309469456,1.6009598829052412,1.363309314271501,0.9501025969073777,906.8141431283774,1200.30142706259,966.2173140012155,339.3667800034408,500.74293941371417,11.199999985353577,59999.99992153702
401.29999999999995,0.40160579890621934,1.6009596583036194,1.3633093412040025,0.9501033884884728,906.8142163046185,1200.3014507245314,966.2173330477654,339.3670717232111,500.7433698526149,11.199999985360446,59999.99992157383
401.4,0.40160503515032314,1.6009594337704274,1.3633093681367292,0.9501041796435277,906.8142894447883,1200.301474386722,966.2173520945163,339.3673632834211,500.74380005608106,11.199999985367315,59999.99992161062
401.5,0.40160427182732616,1.6009592093054372,1.3633093950697348,0.9501049703722957,906.8143625488889,1200.3014980492092,966.2173711415059,339.3676546839751,500.7442300239712,11.199999985374182,59999.99992164741
401.6,0.40160350893754826,1.6009589849084214,1.3633094220030724,0.9501057606745302,906.8144356169222,1200.3015217120396,966.2173901887721,339.3679459247771,500.74465975614385,11.199999985381048,59999.99992168419
401.7,0.4016027464813095,1.6009587605791522,1.3633094489367952,0.9501065505499844,906.8145086488904,1200.3015453752605,966.2174092363528,339.3682370057311,500.74508925245743,11.19999998538791,59999.999921720955
401.79999999999995,0.4016019844589299,1.600958536317402,1.3633094758709565,0.9501073399984116,906.8145816447958,1200.3015690389188,966.2174282842857,339.36852792674136,500.74551851277045,11.199999985394772,59999.99992175771
401.9,0.4016012228707295,1.600958312122943,1.3633095028056093,0.9501081290195651,906.8146546046402,1200.3015927030613,966.2174473326087,339.36881868771184,500.74594753694146,11.199999985401632,59999.999921794464
402.0,0.4016004617170283,1.6009580879955474,1.363309529740807,0.950108917613198,906.8147275284259,1200.301616367735,966.2174663813595,339.3691092885467,500.7463763248288,11.19999998540849,59999.99992183121
402.1,0.40159970099814624,1.600957863934988,1.3633095566766031,0.950109705779064,906.8148004161551,1200.3016400329873,966.2174854305761,339.3693997291501,500.74680487629115,11.199999985415348,59999.99992186794
402.2,0.4015989407144034,1.6009576399410366,1.3633095836130507,0.9501104935169158,906.8148732678296,1200.3016636988648,966.2175044802963,339.369690009426,500.74723319118687,11.199999985422203,59999.99992190466
402.29999999999995,0.4015981808661198,1.6009574160134659,1.3633096105502027,0.9501112808265071,906.8149460834518,1200.3016873654144,966.2175235305577,339.3699801292786,500.7476612693745,11.199999985429054,59999.99992194137
402.4,0.4015974214536154,1.600957192152048,1.3633096374881126,0.9501120677075912,906.8150188630236,1200.3017110326834,966.2175425813983,339.3702700886119,500.74808911071244,11.199999985435905,59999.99992197807
402.5,0.40159666247721026,1.6009569683565554,1.3633096644268339,0.950112854159921,906.8150916065472,1200.3017347007187,966.217561632856,339.3705598873301,500.7485167150593,11.199999985442755,59999.999922014766
402.6,0.4015959039372244,1.6009567446267603,1.3633096913664193,0.9501136401832502,906.8151643140247,1200.3017583695673,966.2175806849685,339.37084952533723,500.74894408227357,11.199999985449603,59999.99992205145
402.7,0.40159514583397776,1.6009565209624352,1.3633097183069225,0.9501144257773317,906.8152369854582,1200.301782039276,966.2175997377736,339.3711390025374,500.74937121221365,11.199999985456449,59999.99992208813
402.79999999999995,0.40159438816779036,1.6009562973633522,1.3633097452483964,0.9501152109419191,906.8153096208498,1200.301805709892,966.2176187913093,339.37142831883466,500.74979810473803,11.199999985463293,59999.99992212479
402.9,0.4015936309389823,1.6009560738292836,1.3633097721908947,0.9501159956767655,906.8153822202016,1200.301829381462,966.2176378456132,339.3717174741332,500.7502247597053,11.199999985470136,59999.99992216145
403.0,0.4015928740574346,1.6009558504569026,1.3633097991159022,0.9501167800506003,906.8154547720936,1200.3018530376617,966.2176568875449,339.3720064940125,500.7506512148585,11.199999985476973,59999.999922198076
403.1,0.4015921174237888,1.6009556273522518,1.3633098260030863,0.9501175641392702,906.8155272640514,1200.3018766605628,966.2176759026731,339.372295406708,500.7510775118594,11.1999999854838,59999.99992223465
403.2,0.401591361038191,1.600955404514475,1.3633098528525855,0.9501183479427703,906.815599696228,1200.3019002502874,966.2176948910962,339.3725842122236,500.7515036507138,11.199999985490617,59999.99992227116
403.29999999999995,0.4015906049008445,1.6009551819426537,1.3633098796645504,0.9501191314610518,906.8156720687839,1200.3019238069685,966.2177138529212,339.37287291054696,500.7519296314034,11.199999985497422,59999.99992230763
403.4,0.40158984901195255,1.6009549596358705,1.3633099064391316,0.9501199146940659,906.8157443818794,1200.3019473307384,966.2177327882544,339.3731615016657,500.7523554539102,11.199999985504219,59999.99992234404
403.5,0.4015890933717185,1.6009547375932074,1.3633099331764793,0.9501206976417639,906.8158166356752,1200.3019708217294,966.2177516972027,339.37344998556756,500.75278111821575,11.199999985511006,59999.9999223804
403.6,0.4015883379803457,1.6009545158137464,1.3633099598767442,0.9501214803040972,906.8158888303315,1200.3019942800747,966.217770579873,339.37373836224015,500.7532066243019,11.199999985517781,59999.9999224167
403.7,0.40158758283803736,1.6009542942965698,1.3633099865400766,0.9501222626810168,906.8159609660087,1200.3020177059063,966.2177894363717,339.3740266316711,500.7536319721506,11.19999998552455,59999.999922452946
403.79999999999995,0.4015868279449969,1.6009540730407597,1.3633100131666271,0.9501230447724743,906.8160330428673,1200.3020410993574,966.2178082668058,339.37431479384804,500.7540571617434,11.199999985531305,59999.999922489136
403.9,0.4015860733014276,1.600953852045398,1.363310039756546,0.9501238265784208,906.8161050610677,1200.30206446056,966.2178270712818,339.37460284875874,500.75448219306224,11.199999985538051,59999.99992252528
404.0,0.4015853189075327,1.6009536313095671,1.363310066309984,0.9501246080988075,906.8161770207703,1200.302087789647,966.2178458499066,339.37489079639073,500.75490706608883,11.199999985544787,59999.99992256137
404.1,0.40158456476351556,1.600953410832349,1.3633100928270914,0.9501253893335858,906.8162489221355,1200.3021110867508,966.2178646027868,339.37517863673173,500.75533178080497,11.199999985551514,59999.9999225974
404.2,0.4015838108695795,1.6009531906128258,1.3633101193080186,0.9501261702827069,906.8163207653237,1200.3021343520043,966.2178833300292,339.37546636976936,500.75575633719245,11.199999985558232,59999.99992263339
404.29999999999995,0.4015830572259278,1.6009529706500796,1.3633101457529162,0.950126950946122,906.8163925504954,1200.3021575855396,966.2179020317403,339.3757539954913,500.7561807352331,11.19999998556494,59999.999922669325
404.4,0.4015823038327638,1.6009527509431927,1.3633101721619345,0.9501277313237825,906.8164642778108,1200.3021807874895,966.2179207080272,339.3760415138852,500.7566049749086,11.199999985571637,59999.9999227052
404.5,0.4015815506902908,1.600952531491247,1.3633101985352243,0.9501285114156396,906.8165359474307,1200.3022039579869,966.2179393589963,339.3763289249387,500.75702905620085,11.199999985578325,59999.99992274103
404.6,0.40158079779871203,1.6009523122933245,1.3633102248729358,0.9501292912216446,906.8166075595151,1200.302227097164,966.2179579847545,339.3766162286395,500.75745297909157,11.199999985585004,59999.999922776806
404.7,0.4015800451582309,1.6009520933485077,1.3633102511752195,0.9501300707417487,906.8166791142246,1200.3022502051533,966.2179765854085,339.3769034249752,500.7578767435626,11.199999985591672,59999.99992281253
404.79999999999995,0.4015792927690507,1.6009518746558784,1.3633102774422259,0.9501308499759032,906.8167506117197,1200.3022732820878,966.2179951610649,339.37719051393344,500.7583003495956,11.199999985598332,59999.99992284821
404.9,0.4015785406313747,1.600951656214519,1.3633103036741054,0.9501316289240594,906.8168220521607,1200.3022963280996,966.2180137118304,339.377477495502,500.7587237971725,11.19999998560498,59999.999922883835
405.0,0.4015777887454063,1.6009514380235115,1.3633103298710088,0.9501324075861686,906.816893435708,1200.3023193433216,966.2180322378119,339.37776436966834,500.759147086275,11.19999998561162,59999.99992291941
405.1,0.4015770371113487,1.6009512200819378,1.3633103560330861,0.9501331859621819,906.816964762522,1200.3023423278862,966.218050739116,339.3780511364203,500.75957021688487,11.199999985618252,59999.99992295493
405.2,0.4015762857294052,1.6009510023888804,1.363310382160488,0.9501339640520508,906.8170360327633,1200.3023652819263,966.2180692158496,339.3783377957454,500.75999318898397,11.199999985624874,59999.999922990406
405.29999999999995,0.4015755345997792,1.6009507849434212,1.363310408253365,0.9501347418557263,906.8171072465921,1200.302388205574,966.2180876681191,339.3786243476314,500.76041600255405,11.199999985631488,59999.999923025825
405.4,0.40157478372267397,1.6009505677446423,1.3633104343118674,0.9501355193731599,906.8171784041689,1200.3024110989625,966.2181060960314,339.3789107920658,500.7608386575769,11.19999998563809,59999.9999230612
405.5,0.40157403309829276,1.6009503507916258,1.3633104603361457,0.9501362966043028,906.8172495056541,1200.3024339622236,966.2181244996933,339.37919712903647,500.7612611540343,11.199999985644684,59999.999923096526
405.6,0.401573282726839,1.600950134083454,1.3633104863263505,0.9501370735491063,906.817320551208,1200.3024567954906,966.2181428792114,339.3794833585309,500.761683491908,11.199999985651269,59999.9999231318
405.7,0.4015725326085159,1.6009499176192088,1.3633105122826323,0.9501378502075215,906.8173915409913,1200.3024795988956,966.2181612346924,339.37976948053677,500.7621056711799,11.199999985657843,59999.99992316702
405.79999999999995,0.40157178274352684,1.6009497013979725,1.3633105382051414,0.9501386265794998,906.8174624751642,1200.3025023725716,966.2181795662432,339.3800554950418,500.7625276918316,11.19999998566441,59999.9999232022
