时间,电功率,反应堆功率,气轮机功率,压缩机功率,反应堆入口温度,反应堆出口温度,气轮机出口温度,压缩机入口温度,压缩机出口温度,流量,转速
900.0000000000001,0.4001728408014095,1.6004544328884986,1.363370507487629,0.9515976252863363,906.9597605271887,1200.3552275055263,966.2606206372399,339.91704368845956,501.5548655235916,11.199999998733228,59999.99999321373
900.1000000000001,0.4001727733117022,1.600454425197543,1.3633705082579475,0.9515976929036324,906.959765512101,1200.3552281782072,966.2606211786864,339.91706857705464,501.55490224725236,11.199999998733638,59999.999993215926
900.2,0.4001727058494376,1.600454417524522,1.3633705090260433,0.9515977604890021,906.9597704926638,1200.3552288489375,966.2606217185629,339.9170934538986,501.5549389535741,11.199999998734048,59999.99999321812
900.3000000000001,0.40017263841463274,1.6004544098692859,1.363370509791939,0.9515978280424888,906.959775468908,1200.3552295177371,966.2606222568852,339.9171183190074,501.5549756425803,11.199999998734459,59999.99999322032
900.4000000000001,0.40017257100730463,1.600454402231683,1.3633705105556577,0.9515978955641355,906.959780440864,1200.3552301846257,966.2606227936693,339.9171431723969,501.5550123142944,11.199999998734867,59999.99999322251
900.5000000000001,0.4001725036274704,1.600454394611563,1.3633705113172216,0.9515979630539855,906.9597854085623,1200.3552308496235,966.2606233289314,339.91716801408296,501.5550489687399,11.199999998735276,59999.999993224694
900.6000000000001,0.400172436275147,1.6004543870087753,1.3633705120766537,0.9515980305120818,906.9597903720334,1200.3552315127502,966.2606238626875,339.9171928440815,501.5550856059402,11.199999998735683,59999.999993226884
900.7,0.4001723689503515,1.6004543794231687,1.3633705128339764,0.9515980979384678,906.9597953313076,1200.3552321740256,966.2606243949533,339.9172176624084,501.5551222259187,11.199999998736091,59999.99999322907
900.8000000000001,0.40017230165310097,1.6004543718545927,1.3633705135892125,0.9515981653331864,906.9598002864158,1200.3552328334697,966.2606249257451,339.91724246907955,501.55515882869884,11.199999998736498,59999.99999323124
900.9000000000001,0.40017223438341243,1.6004543643028966,1.3633705143423844,0.9515982326962811,906.9598052373882,1200.3552334911024,966.2606254550788,339.9172672641109,501.55519541430414,11.199999998736905,59999.999993233425
