时间,电功率,反应堆功率,气轮机功率,压缩机功率,反应堆入口温度,反应堆出口温度,气轮机出口温度,压缩机入口温度,压缩机出口温度,流量,转速
400.0,0.40153794257287506,1.60093167449381,1.363313451917032,0.9501754457424806,906.8218600244941,1200.3050683187578,966.22024503689,339.39360139600154,500.78251496918756,11.199999986187082,59999.99992600218
400.1,0.40153720634782364,1.6009314104188785,1.3633134837909031,0.9501762139367576,906.8219351431151,1200.30509634368,966.220267595597,339.39388404338945,500.7829320215853,11.199999986193532,59999.99992603674
400.20000000000005,0.4015364704832821,1.6009311464920868,1.363313515642322,0.9501769817473141,906.8220102206021,1200.3051243488396,966.2202901383959,339.3941665494384,500.78334886543433,11.19999998619998,59999.99992607129
400.3,0.40153573497923284,1.6009308827140056,1.3633135474711655,0.9501777491740214,906.8220852568952,1200.3051523341283,966.2203126651995,339.394448914137,500.7837655007179,11.199999986206427,59999.99992610582
400.40000000000003,0.40153499983565827,1.600930619085205,1.3633135792773108,0.9501785162167505,906.822160251934,1200.3051802994376,966.2203351759201,339.39473113747385,500.78418192741907,11.199999986212871,59999.999926140335
400.5,0.4015342650525409,1.6009303556062562,1.3633136110606348,0.9501792828753728,906.8222352056579,1200.3052082446586,966.2203576704705,339.39501321943754,500.7845981455212,11.199999986219312,59999.999926174845
400.6,0.40153353062986313,1.6009300922777294,1.3633136428210142,0.9501800491497593,906.822310118007,1200.305236169683,966.2203801487632,339.39529516001676,500.7850141550074,11.199999986225754,59999.99992620935
400.70000000000005,0.40153279656760743,1.6009298291001952,1.363313674558326,0.950180815039781,906.8223849889208,1200.3052640744022,966.2204026107108,339.39557695920007,500.7854299558608,11.199999986232191,59999.999926243836
400.8,0.4015320628657562,1.6009295660742242,1.3633137062724476,0.9501815805453093,906.8224598183391,1200.3052919587076,966.220425056226,339.39585861697606,500.7858455480648,11.199999986238627,59999.99992627832
400.90000000000003,0.40153132952429194,1.6009293032003873,1.3633137379632556,0.9501823456662153,906.8225346062017,1200.3053198224904,966.2204474852211,339.3961401333334,500.7862609316024,11.19999998624506,59999.99992631278
401.0,0.40153059654319706,1.6009290404792544,1.3633137696306272,0.95018311040237,906.8226093524481,1200.305347665642,966.220469897609,339.39642150826063,500.7866761064569,11.199999986251493,59999.99992634724
401.1,0.40152986392245404,1.6009287779113968,1.363313801274439,0.9501838747536447,906.8226840570183,1200.3053754880543,966.2204922933021,339.3967027417464,500.7870910726115,11.199999986257923,59999.99992638169
401.20000000000005,0.4015291316620453,1.6009285154973847,1.3633138328945684,0.9501846387199105,906.8227587198517,1200.3054032896184,966.220514672213,339.3969838337794,500.7875058300493,11.199999986264352,59999.99992641613
401.3,0.40152839976195326,1.6009282532377889,1.3633138644908922,0.9501854023010387,906.8228333408881,1200.3054310702255,966.2205370342543,339.3972647843482,500.78792037875365,11.199999986270779,59999.99992645056
401.40000000000003,0.40152766822216046,1.6009279911331795,1.3633138960632871,0.9501861654969002,906.8229079200675,1200.3054588297673,966.2205593793386,339.3975455934413,500.78833471870763,11.199999986277204,59999.99992648498
401.5,0.40152693704264925,1.6009277291841277,1.3633139276116304,0.9501869283073662,906.8229824573292,1200.3054865681352,966.2205817073785,339.3978262610474,500.7887488498945,11.199999986283627,59999.99992651939
401.6,0.40152620622340207,1.6009274673912037,1.363313959135799,0.950187690732308,906.8230569526131,1200.3055142852204,966.2206040182866,339.39810678715514,500.7891627722974,11.199999986290049,59999.99992655379
401.70000000000005,0.40152547576440145,1.6009272057549784,1.36331399063567,0.9501884527715967,906.823131405859,1200.3055419809145,966.2206263119754,339.3983871717531,500.7895764858996,11.19999998629647,59999.99992658819
401.8,0.4015247456656298,1.600926944276022,1.36331402211112,0.9501892144251034,906.8232058170066,1200.305569655109,966.2206485883576,339.39866741482984,500.7899899906842,11.199999986302888,59999.99992662258
401.90000000000003,0.40152401592706954,1.6009266829549051,1.3633140535620263,0.9501899756926994,906.8232801859956,1200.3055973076948,966.2206708473457,339.3989475163741,500.79040328663456,11.199999986309306,59999.99992665695
402.0,0.4015232865487032,1.6009264217921988,1.3633140849882655,0.9501907365742556,906.8233545127656,1200.305624938564,966.2206930888523,339.3992274763744,500.7908163737337,11.19999998631572,59999.99992669132
402.1,0.401522557530513,1.600926160788473,1.3633141163897151,0.9501914970696433,906.8234287972564,1200.3056525476077,966.2207153127899,339.39950729481933,500.7912292519649,11.199999986322135,59999.999926725686
402.20000000000005,0.40152182887248167,1.6009258999442988,1.3633141477662516,0.9501922571787337,906.8235030394077,1200.3056801347172,966.2207375190712,339.3997869716976,500.79164192131145,11.199999986328548,59999.99992676004
402.3,0.4015211005745915,1.6009256392602464,1.363314179117752,0.9501930169013978,906.8235772391591,1200.305707699784,966.2207597076089,339.40006650699775,500.7920543817564,11.19999998633496,59999.999926794386
402.40000000000003,0.401520372636825,1.600925378736887,1.3633142104440936,0.9501937762375069,906.8236513964506,1200.3057352426997,966.2207818783154,339.40034590070843,500.79246663328297,11.19999998634137,59999.99992682873
402.5,0.40151964505916454,1.6009251183747903,1.3633142417451534,0.9501945351869322,906.8237255112217,1200.3057627633557,966.2208040311033,339.4006251528182,500.7928786758744,11.199999986347779,59999.99992686306
402.6,0.4015189178415926,1.6009248581745275,1.3633142730208079,0.9501952937495446,906.8237995834122,1200.305790261643,966.2208261658852,339.4009042633157,500.7932905095139,11.199999986354186,59999.99992689739
402.70000000000005,0.40151819098409164,1.600924598136669,1.3633143042709341,0.9501960519252155,906.8238736129618,1200.3058177374535,966.2208482825737,339.40118323218957,500.7937021341846,11.199999986360593,59999.999926931705
402.8,0.4015174644866441,1.6009243382617855,1.3633143354954096,0.9501968097138159,906.8239475998103,1200.3058451906782,966.2208703810815,339.40146205942835,500.79411354986985,11.199999986366999,59999.999926966026
402.90000000000003,0.40151673834923246,1.6009240785504473,1.3633143666941108,0.9501975671152171,906.8240215438972,1200.3058726212087,966.2208924613209,339.4017407450208,500.7945247565527,11.199999986373403,59999.99992700033
403.0,0.4015160125718391,1.6009238190032253,1.3633143978669147,0.9501983241292901,906.8240954451624,1200.3059000289365,966.2209145232048,339.40201928895533,500.79493575421634,11.199999986379806,59999.99992703463
403.1,0.4015152871544465,1.6009235596206899,1.3633144290136985,0.9501990807559061,906.8241693035454,1200.3059274137531,966.2209365666456,339.4022976912207,500.7953465428441,11.199999986386208,59999.99992706893
403.20000000000005,0.4015145620970371,1.6009233004034118,1.363314460134339,0.9501998369949363,906.8242431189861,1200.3059547755495,966.2209585915559,339.4025759518055,500.79575712241905,11.199999986392609,59999.99992710322
403.3,0.40151383739959334,1.6009230413519615,1.3633144912287132,0.9502005928462518,906.8243168914244,1200.3059821142176,966.2209805978483,339.4028540706983,500.79616749292444,11.199999986399009,59999.999927137505
403.40000000000003,0.4015131130620977,1.6009227824669094,1.363314522296698,0.9502013483097237,906.8243906207996,1200.3060094296484,966.2210025854355,339.40313204788777,500.7965776543435,11.199999986405407,59999.99992717179
403.5,0.4015123890845326,1.6009225237488265,1.3633145533381705,0.9502021033852234,906.8244643070517,1200.3060367217336,966.2210245542299,339.4034098833625,500.79698760665934,11.199999986411806,59999.99992720607
403.6,0.40151166546688044,1.600922265198283,1.363314584353008,0.9502028580726217,906.8245379501203,1200.3060639903645,966.2210465041442,339.403687577111,500.79739734985526,11.199999986418204,59999.99992724034
403.70000000000005,0.40151094220912376,1.6009220068158498,1.3633146153410867,0.9502036123717901,906.8246115499451,1200.3060912354324,966.221068435091,339.403965129122,500.7978068839144,11.199999986424599,59999.999927274606
403.8,0.4015102193112449,1.6009217486020972,1.3633146463022838,0.9502043662825994,906.824685106466,1200.306118456829,966.2210903469827,339.40424253938414,500.79821620881995,11.199999986430996,59999.99992730887
403.90000000000003,0.4015094967732264,1.6009214905575961,1.3633146772364768,0.9502051198049211,906.8247586196225,1200.3061456544453,966.2211122397322,339.40451980788595,500.7986253245552,11.19999998643739,59999.999927343124
404.0,0.4015087745950507,1.6009212326829168,1.3633147081435422,0.9502058729386261,906.8248320893543,1200.3061728281732,966.2211341132518,339.40479693461606,500.7990342311032,11.199999986443785,59999.99992737738
404.1,0.40150805277670015,1.60092097497863,1.3633147390233569,0.9502066256835857,906.8249055156014,1200.3061999779038,966.2211559674541,339.4050739195631,500.79944292844726,11.199999986450178,59999.999927411634
404.20000000000005,0.4015073313181573,1.6009207174453062,1.3633147698757981,0.9502073780396709,906.8249788983032,1200.3062271035285,966.221177802252,339.40535076271567,500.79985141657056,11.199999986456572,59999.99992744588
404.3,0.40150661021940454,1.600920460083516,1.3633148007007427,0.9502081300067531,906.8250522373996,1200.3062542049388,966.2211996175578,339.40562746406243,500.80025969545625,11.199999986462965,59999.99992748012
404.40000000000003,0.4015058894804243,1.60092020289383,1.3633148314980676,0.9502088815847032,906.8251255328303,1200.3062812820262,966.2212214132841,339.4059040235919,500.80066776508755,11.199999986469356,59999.99992751437
404.5,0.4015051691011991,1.600919945876819,1.36331486226765,0.9502096327733924,906.8251987845348,1200.3063083346822,966.2212431893435,339.40618044129275,500.8010756254477,11.199999986475747,59999.99992754861
404.6,0.40150444908171135,1.6009196890330533,1.3633148930093666,0.950210383572692,906.8252719924532,1200.3063353627977,966.2212649456487,339.4064567171536,500.8014832765199,11.199999986482139,59999.999927582845
404.70000000000005,0.40150372942194346,1.6009194323631035,1.3633149237230946,0.950211133982473,906.8253451565249,1200.3063623662647,966.2212866821121,339.40673285116304,500.80189071828727,11.199999986488528,59999.99992761708
404.8,0.40150301012187795,1.6009191758675403,1.3633149544087106,0.9502118840026067,906.8254182766897,1200.3063893449741,966.2213083986466,339.4070088433097,500.802297950733,11.19999998649492,59999.99992765131
404.90000000000003,0.40150229118149716,1.6009189195469342,1.363314985066092,0.9502126336329642,906.8254913528874,1200.3064162988178,966.2213300951644,339.40728469358214,500.80270497384043,11.19999998650131,59999.999927685545
405.0,0.4015015726007836,1.600918663401856,1.3633150156951155,0.9502133828734164,906.8255643850576,1200.306443227687,966.2213517715783,339.4075604019691,500.8031117875927,11.199999986507699,59999.99992771977
405.1,0.4015008543797198,1.600918407432876,1.363315046295658,0.9502141317238348,906.8256373731401,1200.3064701314731,966.2213734278008,339.40783596845904,500.8035183919729,11.199999986514086,59999.999927754005
405.20000000000005,0.40150013651828803,1.6009181516405648,1.3633150768675968,0.9502148801840905,906.8257103170747,1200.3064970100675,966.2213950637447,339.40811139304066,500.80392478696433,11.199999986520476,59999.99992778823
405.3,0.40149941901647085,1.600917896025493,1.3633151074108085,0.9502156282540545,906.8257832168009,1200.3065238633615,966.2214166793223,339.40838667570256,500.8043309725502,11.199999986526866,59999.99992782246
405.40000000000003,0.4014987018742507,1.6009176405882315,1.3633151379251705,0.950216375933598,906.8258560722585,1200.3065506912467,966.2214382744463,339.4086618164333,500.80473694871364,11.199999986533253,59999.999927856676
405.5,0.40149798509160994,1.6009173853293506,1.363315168410559,0.9502171232225922,906.8259288833873,1200.3065774936147,966.2214598490292,339.40893681522164,500.80514271543785,11.199999986539641,59999.9999278909
